Q2,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q17,Q19,Q21,Q22,Q23,sex,age,occupation/school,student/faculty
Nothing at all,None,To get started with a project,Curiosity,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Very much so,Very much so,Not at all,0,I have not used ChatGPT,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat likely,Somewhat likely,seems interesting! I am interested in checking it out.,Female,22-25,Professor/Faculty,Professor/Faculty
A good amount,From the news,To obtain significant help with a project,To get started with a project,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat,Very much so,Not at all,0,I have not used ChatGPT,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat likely,Somewhat likely,"As a communication professional, I am skeptical of its ability to mimic human-generated writing.",Female,30-33,Professor/Faculty,Professor/Faculty
Nothing at all,From this questionnaire,To get started with a project,To aid in completion of a project,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat likely,Neither likely nor unlikely,Something that I'd consider but would need more real life examples.,Male,34-37,Professor/Faculty,Professor/Faculty
Nothing at all,From this questionnaire,Curiosity,Curiosity,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat,Not at all,Not at all,0,I have not used ChatGPT,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat likely,Somewhat likely,I think that plagiarism will become a bigger problem than it already is and people will not be able to problem solve as well.,Female,26-29,Professor/Faculty,Professor/Faculty
A good amount,Other,To get started with a project,To get started with a project,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Very much so,Very much so,A little,1 to 5,To get started with a project,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat likely,Somewhat likely,Personally I would only use it to get ideas going. It’s a great help when you feel you have reached a mental block. It’s like listening to someone else thoughts so it helps you elaborate your own ,Male,18-21,,
A great deal,From the news,To get started with a project,To get started with a project,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat,Very much so,A good amount,11 or more times,To get started with a project,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat likely,Somewhat unlikely,"ChatGPT is a tool. The existence of the tool itself is not ethical or unethical. It is how the tool is used that makes the difference. In academia, for instance, ChatGPT can be used as starting point to accelerate research and writing. I don't believe it should be taken at face value or turned in exactly as is. The originator needs to use the tool to start the thought process, not as an end result.",Male,38-41,Professor/Faculty,Professor/Faculty
Nothing at all,From this questionnaire,Curiosity,Curiosity,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not at all,Not at all,Not at all,0,I have not used ChatGPT,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither likely nor unlikely,Neither likely nor unlikely,,Male,26-29,Communications & Arts,Student
A good amount,From the news,To aid in completion of a project,To get started with a project,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat likely,Neither likely nor unlikely,,Female,46+,Professor/Faculty,Professor/Faculty
A little,From the news,To aid in completion of a project,Curiosity,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat,Very much so,Not at all,0,I have not used ChatGPT,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Neither likely nor unlikely,Very unlikely,"After learning a bit about ChatGPT and the functions that it provides users, I worry that students/the public would use the outputs as their own. This leads me to question whether or not there are ways of catching this form of plagiarism. ",Female,22-25,Professor/Faculty,Professor/Faculty
A good amount,From the news,To aid in completion of a project,To get started with a project,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Very likely,Very likely,Interesting and scary at the same time!,Male,46+,Professor/Faculty,Professor/Faculty
A good amount,From the news,To obtain significant help with a project,To aid in completion of a project,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Very much so,Very much so,A little,1 to 5,Curiosity,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat likely,Neither likely nor unlikely,"ChatGPT has already increased the amount of plagiarism on campus, as I have witnessed students using it to write essays and even personal statements on applications, such as transfer and abroad applications.  It decreases the amount of skill and thought that students put into their personal and academic work.",Female,46+,Professor/Faculty,Professor/Faculty
A great deal,From the news,To obtain significant help with a project,To obtain significant help with a project,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Very much so,Very much so,Not at all,0,I have not used ChatGPT,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat likely,Somewhat likely,There are many benefits though I fear people will become totally reliant on it.,Male,46+,Professor/Faculty,Professor/Faculty
A good amount,From the news,To aid in completion of a project,To get started with a project,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Very much so,Very much so,A little,1 to 5,To get started with a project,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very likely,Somewhat likely,"Great tool, especially when you need fast information ",Female,22-25,CS & Math,Student
A great deal,From the news,To aid in completion of a project,To aid in completion of a project,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat,Not at all,A little,1 to 5,Curiosity,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Very unlikely,Very unlikely,ChatGPT is useful for finding information about topics to aid in your work to avoid doing Google searches. It is NOT a replacement for human work as we have to still check the output. It should never be used for schoolwork as it is plagiarism and is a negative reinforcement of the material as one will not be able to do the work on their own when they get a job or internship.,Male,18-21,CS & Math,Student
A great deal,From the news,To obtain significant help with a project,Curiosity,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Very much so,Not at all,A good amount,11 or more times,To aid in completion of a project,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat likely,Neither likely nor unlikely,"ChatGPT is but a tool, what should be concerning is how people use that tool whether it be considered abusive or productive. ",Male,18-21,CS & Math,Student
A good amount,From the news,To aid in completion of a project,To obtain significant help with a project,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very much so,Very much so,Quite a lot,11 or more times,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Very likely,Very likely,I think it’s the future and everyone should use it to the maximum of its potential and in everything they do ,Male,18-21,Management,Student
A good amount,From the news,Curiosity,Curiosity,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat,Very much so,A good amount,1 to 5,Curiosity,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat likely,Neither likely nor unlikely,"I think the technology is beneficial in the field of AI, but as for other fields, I think it needs more development to have a true impact.",Female,18-21,Liberal Arts,Student
A good amount,Other,To get started with a project,Curiosity,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat unlikely,Somewhat unlikely,Influential ,Male,18-21,Communications & Arts,Student
A great deal,From the news,To obtain significant help with a project,Curiosity,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Very much so,Very much so,Quite a lot,11 or more times,To obtain significant help with a project,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very likely,Somewhat likely,I love it and it helps me a lot with understanding math topics when teachers are not able to explain in a way that i full understand. I don’t use it for english or anything written but it does help a lot with math because if I make a mistake on a problem I can receive the correct answer if I plug it in to ChatGPT and see where I went wrong. ,Female,18-21,Management,Student
A good amount,Other,To aid in completion of a project,Curiosity,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Very much so,Somewhat,A little,1 to 5,To aid in completion of a project,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat likely,Somewhat likely,"I think it’ll be good for inspiration, but AI sometimes might not be reliable as human research.",Female,18-21,Communications & Arts,Student
A great deal,From the news,To obtain significant help with a project,Curiosity,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat,Not at all,Not at all,0,I have not used ChatGPT,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat likely,Very unlikely,It is very good at appearing confidently correct even if it’s objectively wrong. This makes me concerned for future iterations where mistakes may be harder to notice. ,Male,18-21,CS & Math,Student
A great deal,From a friend,Curiosity,Curiosity,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Very much so,Quite a lot,11 or more times,Curiosity,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat likely,Somewhat unlikely,"I am a computer science student at Marist and I find chatGPT very helpful in understanding code and programs. I use it almost everyday, and I believe it is a great tool that we should learn to use and incorporate into our daily lives.",Male,18-21,CS & Math,Student
A good amount,From the news,To aid in completion of a project,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat,Very much so,A little,6 to 10,To aid in completion of a project,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat unlikely,Very unlikely,"It's a useful tool that has its good and bad, and is no different than most technological advancements of the past 20 years",Male,18-21,Communications & Arts,Student
A little,From a family member,To aid in completion of a project,To get started with a project,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat,Very much so,Not at all,0,I have not used ChatGPT,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat likely,Neither likely nor unlikely,"It could save students who struggle with writing papers a lot of time, but they should be able to take the output given by ChatGPT and edit it such that it seems more authentically written by the student.",Female,18-21,Social & Behavioral Sciences,Student
A good amount,From the news,To aid in completion of a project,To aid in completion of a project,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Very much so,Very much so,A little,1 to 5,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat likely,Somewhat likely,"I think that ChatGPT is a beneficial program that is a new frontier in academics, professional settings, and everyday life. I believe that it is important to how we as a society moves forward in all of the fields previously mentioned, and that it should be acceptable to use ChatGPT.",Female,18-21,Communications & Arts,Student
A great deal,From a colleague,Other; please specify,Other; please specify,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Very much so,Very much so,Quite a lot,11 or more times,To obtain significant help with a project,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat unlikely,Very unlikely,"ChatGPT could be thought of as a tool meant to assist with walking, not to allow you to walk completely. If you do attempt to lean on it completely, then things will go wrong. In the hands of a student who utilizes it well and efficiently, however, I think it can do wonders.",Male,18-21,Social & Behavioral Sciences,Student
A little,From the news,To aid in completion of a project,To get started with a project,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Very much so,Very much so,Not at all,0,I have not used ChatGPT,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat likely,Neither likely nor unlikely,,Female,18-21,Management,Student
A little,Other,Other; please specify,Curiosity,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat,Not at all,Not at all,0,I have not used ChatGPT,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Very unlikely,Very unlikely,I probably will not use it going forward. As well as I have no use for it and would feel it would be cheating to use it. ,Female,18-21,Social & Behavioral Sciences,Student
A good amount,From the news,Curiosity,Curiosity,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Very much so,Somewhat,Not at all,0,Curiosity,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither likely nor unlikely,Very unlikely,"I'm curious but skeptical about it.  I think ChatGPT and AI will have an important role in our lives in the future.  While there are clearly some benefits, I personally do not trust it and expect the negative effects to outweigh the benefits.",Prefer not to say,42-45,,
A great deal,From the news,Other; please specify,To obtain significant help with a project,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Very much so,Very much so,Quite a lot,11 or more times,Curiosity,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat likely,Neither likely nor unlikely,I think ChatGPT is a great tool showing how AI will soon be in our daily life. While the copy and paste idea of ChatGPT is an issue in the academic setting. The AI should be viewed as a tool to only provide framework for projects,Male,18-21,Management,Student
A great deal,From the news,To obtain significant help with a project,To aid in completion of a project,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither likely nor unlikely,Very unlikely,"I think it is a great piece of technology that will impact our society in positive and negative manners. I believe that students will use this to avoid doing work that will benefit their knowledge and that they are lazy for doing so. As a result, I believe this will lead to handwritten essays in class under careful watch and will cause a regression in the use of technology in the classroom. This could be detrimental to students who will need to identify trustworthy sources. I think that many professionals could use this to assist them in their jobs but some will use it to do their jobs for them. At that point people will just convince their employers that their job can be automated now. ",Female,22-25,CS & Math,Student
